card,power,toughness,text
Verdant Sun's Avatar,5,5,"Whenever Verdant Sun's Avatar or another creature enters the battlefield under your control, you gain life equal to that creature's toughness."
Vicious Conquistador,1,2,"Whenever Vicious Conquistador attacks, each opponent loses 1 life."
Vineshaper Mystic,1,3,"When Vineshaper Mystic enters the battlefield, put a +1/+1 counter on each of up to two target Merfolk you control."
"Vona, Butcher of Magan",4,4,"Vigilance, lifelink. {T}, Pay 7 life: Destroy target nonland permanent. Activate this ability only during your turn."
Vona's Hunger,,,"Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.). Each opponent sacrifices a creature. If you have the city's blessing, instead each opponent sacrifices half the creatures he or she controls, rounded up."
Voracious Vampire,2,2,"Menace. When Voracious Vampire enters the battlefield, target Vampire you control gets +1/+1 and gains menace until end of turn."
"Vraska, Relic Seeker",,,"+2: Create a 2/2 black Pirate creature token with menace. −3: Destroy target artifact, creature, or enchantment. Create a colorless Treasure artifact token with ""{T}, Sacrifice this artifact: Add one mana of any color to your mana pool."". −10: Target player's life total becomes 1."
"Vraska, Scheming Gorgon",,,"+2: Creatures you control get +1/+0 until end of turn. −3: Destroy target creature. −10: Until end of turn, creatures you control gain deathtouch and ""Whenever this creature deals damage to an opponent, that player loses the game."""
Vraska's Conquistador,2,1,"Whenever Vraska's Conquistador attacks or blocks, if you control a Vraska planeswalker, target opponent loses 2 life and you gain 2 life."
Vraska's Contempt,,,Exile target creature or planeswalker. You gain 2 life.
Vraska's Scorn,,,"Target opponent loses 4 life. You may search your library and/or graveyard for a card named Vraska, Scheming Gorgon, reveal it, and put it into your hand. If you search your library this way, shuffle it."
Wakening Sun's Avatar,7,7,"When Wakening Sun's Avatar enters the battlefield, if you cast it from your hand, destroy all non-Dinosaur creatures."
Waker of the Wilds,3,3,{X}{G}{G}: Put X +1/+1 counters on target land you control. That land becomes a 0/0 Elemental creature with haste. It's still a land.
Walk the Plank,,,Destroy target non-Merfolk creature.
Wanted Scoundrels,4,3,"When Wanted Scoundrels dies, target opponent creates two colorless Treasure artifact tokens with ""{T}, Sacrifice this artifact: Add one mana of any color to your mana pool."""
Warkite Marauder,2,1,"Flying. Whenever Warkite Marauder attacks, target creature defending player controls loses all abilities and has base power and toughness 0/1 until end of turn."
Waterknot,,,"Enchant creature. When Waterknot enters the battlefield, tap enchanted creature. Enchanted creature doesn't untap during its controller's untap step."
Watertrap Weaver,2,2,"When Watertrap Weaver enters the battlefield, tap target creature an opponent controls. That creature doesn't untap during its controller's next untap step."
Wayward Swordtooth,5,5,"Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.). You may play an additional land on each of your turns. Wayward Swordtooth can't attack or block unless you have the city's blessing."
Wildgrowth Walker,1,3,"Whenever a creature you control explores, put a +1/+1 counter on Wildgrowth Walker and you gain 3 life."
Wily Goblin,1,1,"When Wily Goblin enters the battlefield, create a colorless Treasure artifact token with ""{T}, Sacrifice this artifact: Add one mana of any color to your mana pool."""
Wind Strider,3,3,Flash. Flying
Woodland Stream,,,Woodland Stream enters the battlefield tapped. {T}: Add {G} or {U} to your mana pool.
World Shaper,3,3,"Whenever World Shaper attacks, you may put the top three cards of your library into your graveyard. When World Shaper dies, put all land cards from your graveyard onto the battlefield tapped."
"Zacama, Primal Calamity",9,9,"Vigilance, reach, trample. When Zacama, Primal Calamity enters the battlefield, if you cast it, untap all lands you control. {2}{R}: Zacama deals 3 damage to target creature. {2}{G}: Destroy target artifact or enchantment. {2}{W}: You gain 3 life."
"Zetalpa, Primal Dawn",4,8,"Flying, double strike, vigilance, trample, indestructible"
